town	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月
城镇54	1325.54	1419.33	1515.74	1456.35	1465.26	1393.11	1488.31	1500.4	1482.01	1434.46	1535.61	1472.26	1414.15	1366.22	1541.99	1577.16	1501.27	1455.95	1576.4	1344.46	1377.46	1342.22	1340.05	1468.09	1343.86	1410.87	1462.5	1407.79	1483.29	1438.19	1508.95	1476.88	1492.15	1571.37	1410.28	1569.2	1517.16	1561.22	1377.6	1486.59	1548.38	1566.7	1426.57	1334.3	1529.9	1563	1462.23	1541.02	1396.77	1573.17	1402.35	1359.74	1370.06	1353.03	1557.15	1364.41	1416.4	1516.98	1399.67	1441.32
城镇55	109.17	111.56	120.07	118.63	135.89	125.05	123.51	143.18	129.04	134.44	141.07	157.44	155.6	152.91	154.9	158.52	165.67	171.15	172.9	153.7	155.24	153.28	164.51	179.01	158.74	170.44	185.96	178.51	167.36	169.2	191.09	172.13	193.38	177.55	200.73	181.76	198.7	191.16	195.4	198.99	204.55	188.91	194.3	191.65	186.74	215.76	217.73	215.8	207.27	211.23	204.44	223.12	226.45	218.09	223.39	194.01	228.34	197.72	217.99	219.26
城镇56	1579.79	1586.43	1709.26	1572.19	1782.86	1699.65	1752.68	1714.69	1775.88	1709.8	1743.2	1818.15	1750.64	1643.5	1551.95	1733.77	1577.66	1705.33	1626.2	1656.89	1680.53	1651.46	1616.32	1599.61	1610.67	1775.39	1806.37	1761.3	1814.49	1574.78	1807.26	1652.49	1625.58	1699.36	1531.59	1659.13	1637.12	1803.36	1608.7	1639.25	1803.37	1547.25	1557.15	1727.98	1726.58	1777.53	1572.21	1743.38	1559.64	1791.2	1696.46	1726.5	1658.38	1683.32	1729.53	1636.06	1739.24	1592.86	1804.62	1755.18
城镇57	981.57	886.94	880.82	873.86	993.66	978.89	931.61	842.26	923	1000.45	949.09	978.64	864.21	899.68	849.61	992.77	999.74	959.61	928.05	965.44	956.47	887.08	882.37	865.83	948.72	863.42	884.45	910.34	935.53	853.14	960.07	858.05	966.79	975.36	999.4	882.14	1002.64	999.29	959.15	948.82	961.66	944.47	996.06	861.85	862.77	986.25	874	979.97	982.51	842.27	898.53	842.58	875.88	908.8	1001.53	866.03	963.51	925.8	937.46	863.03
城镇58	626.72	576.61	650.71	644.78	563.86	570.04	575.17	657.86	630.29	578.59	591.26	614.31	611.68	572.93	577.75	634.19	646.73	551.92	571.19	547.3	591.43	573.92	582.68	572.37	541.77	549.28	599.95	581.12	561.4	576.54	603.8	551.51	557.37	564.9	605.48	618.82	562.93	547.88	617.83	579.31	609.5	621.55	590.56	611.47	613.84	610.08	595.88	581.43	573.85	555.68	573.01	567.01	579.96	547.25	531.04	619.12	525.6	621.07	614.09	572.77
城镇59	200.83	192.28	208.71	193.23	213.13	215.5	206.91	225.05	221.12	214.3	202.9	198.52	195.13	204.58	208.68	215.61	231.75	204.37	232.57	217.11	212.87	232.04	231.36	211.64	207.55	214.07	217.28	232.54	232.84	233.61	212.48	227.92	215.65	218.46	213.78	214.49	200.51	211.5	213.19	205.25	211.22	210.54	233.19	222.62	199.46	197.2	234.36	233.83	199.88	215.45	215.66	222.32	205.8	230.79	221.08	222.43	204.64	215.78	211.75	226.96
城镇60	163.17	172.45	174.33	167.49	170.22	157.86	163.35	165.98	170.83	181.83	174.74	175.47	172.91	152.91	169.26	157.22	167.68	153.41	157.22	180.74	166.57	167.33	156.39	160.12	181.25	176.3	167.81	163.21	177.74	157.76	158.75	166.7	182.03	181.79	179.2	161.84	178.01	160.64	167.69	154.27	164.51	179.73	171.36	174.89	173.47	169.99	177.77	165.96	180.04	162.21	174.64	159.64	157.75	157.63	169.06	175.35	157.96	175.09	172.51	177.53
城镇61	287.92	275.85	291.28	295.68	339.55	291.05	339.52	342.38	316.44	322.77	330.84	358.83	352.26	324.65	370.66	377.05	332.45	334.28	376.5	337.77	362.94	359.44	376.07	413.01	385.55	402.99	413.03	369.98	386.33	434.92	423.66	438.15	383.15	404.34	397.89	421.64	405.48	404.04	459.45	436.3	479.46	479.2	436.03	450.61	490.85	435.52	480.39	451.94	490.15	463.96	499.01	443.82	499.81	484.84	494.91	525.74	543.68	502.88	517.71	500.54
城镇62	136.53	145.18	145.28	143.22	144.44	142.11	154.77	146.7	141.12	151.61	164.27	169.99	155.92	169.02	180.22	171.14	155.18	166.42	171.68	171.59	193.34	191.27	175.62	179.04	174.7	189.93	187.53	178.62	175.44	188.76	177.17	202	200.7	197.92	202.03	207.16	184.04	191.98	189.97	210.78	202.23	191.74	214.26	212.87	219.02	224.57	215.8	206.21	206.32	200.57	206.74	206.97	208.02	222.56	208.73	199.69	197.44	222.08	214.57	223.57
城镇63	4409.55	4785.26	4166.6	4889.85	4666.41	4826.58	4832.68	4319.31	4240.71	4607.39	4377.46	4659.31	4191.55	4076.08	3949.9	4400.56	4449.72	4677.76	4518.46	4106.19	4151.17	4099.84	3981.38	4078.99	3969.81	4206.44	3800.09	3890.63	4201.05	3784.87	4157.92	4373.94	4233.38	4435.91	3958.19	4005.85	4235.13	3970.51	3827.1	3766.36	3960.47	3742.59	4277.22	3983.11	3905.24	3697.78	4069.47	4006.84	3892.01	4040.64	3667.3	4125.63	3677.64	4070.06	4020.9	3785.53	3646.3	3720.52	3995.13	3602.58
城镇64	557.91	562.14	510.7	567.41	593.69	511.94	506.03	519.41	505.6	567.09	593.29	536.01	540.8	577.72	591.56	579.85	525.51	578.69	595.57	569.82	517.18	567.96	513.78	525.09	516.24	505.24	521.38	516.75	524.71	591.64	533.38	519	574.93	536.91	525.41	538.72	561.01	513.73	583.56	567.75	512.69	505.48	508.65	595.8	557.79	523.37	521.7	571.26	531.02	568.5	573.22	595.55	528.43	543.89	517.35	574.76	534.77	520.16	540.72	499.99
城镇65	269.21	247.24	274.31	258.65	257.14	243.23	242.23	257.11	249.15	262.08	280.29	279.11	269.59	272.9	244.28	258.58	271.66	270.33	237.75	268.45	237.16	244.21	258.61	240.42	259.86	247.49	263.71	257.5	267.7	255.08	244.49	276.81	269.34	269.08	264.47	238.94	254.55	240.53	241.84	241.22	276.79	243.81	248.61	256.99	273.36	250.33	271.83	260.51	275.32	278.95	251.37	260.55	275.61	239.37	238.33	281.79	265.08	271.76	251.18	258.44
城镇66	352.32	411.76	366.09	353.22	360.49	374.92	401.37	407.63	396.18	399.53	369.64	387.89	399.87	414.43	392.04	379.09	353.72	416.64	375.53	358.1	396.56	363.7	367.89	374.53	376.5	383.95	400.44	410.33	385.87	415.26	399.3	383.33	375.3	394.11	393.92	412.57	400.24	373.25	408.93	385.81	404.92	378.35	410.18	397.81	384.3	401.11	356.08	359.52	398.29	400.14	410.4	372.5	384.76	396.4	355.92	403.77	406.4	383.47	374.89	415.51
城镇67	100.02	106.98	107.71	105.98	118.38	122.27	117.06	121.7	138.23	131.75	135.06	134.91	140.74	154.92	150.37	159.03	168.22	178.02	157.76	179.14	178.66	186.95	194.55	186.14	199.62	184.28	197.91	208.92	182.31	183.52	209.17	209.38	193.04	195.18	210.12	191.48	210.81	202.53	199.06	232.34	220.58	203.65	227.15	210.79	243.22	228.39	226.3	242.8	212.34	229.3	230.72	221.47	222.03	241.28	219.26	227.17	249.34	233.14	215.71	233.38
城镇68	625.46	770.4	783.89	776.26	838.89	899.44	886.1	884.86	849.91	893.49	1063.13	1079.14	1070.24	987.68	1027.72	1108.65	1170.68	1197.16	1286.8	1278.61	1184.97	1149.52	1379.85	1426.77	1226.43	1304.35	1266.29	1329.79	1426.73	1464.38	1397.64	1409.84	1596.15	1561.59	1430.22	1479.47	1482.93	1753.87	1767.31	1677.39	1817.6	1719.74	1758.49	1760.14	1899.69	1700.52	1755.57	1896.1	1827.83	1888.27	1952.58	1914.62	2012.56	2077.66	2115.23	1792.33	1983.05	2027.74	1926.85	1960.88
城镇69	614.85	685.05	686.27	630.43	625.08	640.81	732.43	660.9	749.7	674.46	742.58	675.35	758.29	782.65	690.94	791.46	693.8	773.54	706.8	774.19	759.58	803.03	753.29	836.7	770.05	810.36	723.77	793.87	817.28	773.34	807.58	866.83	804.85	820.79	873.63	765.67	841.15	862.23	868.63	859.5	921.31	845.68	848.74	813.44	951.71	952.99	882.4	853.42	901.62	968.05	896.68	951.81	910.34	951.01	907.24	874.34	944.57	926.99	988.44	1016.21
城镇70	495.63	421.28	484.95	445.93	436.11	479.03	431.09	495.78	450.3	431.26	489.85	422.92	454.48	418.36	443.5	432.63	478.84	446.1	427.99	474.45	416.9	456.81	444.62	476.15	436.44	422.42	445.01	472.19	463.01	488.75	421.11	452.11	444.92	455.2	492.84	455.61	471.74	481.61	439.2	471.18	456.56	453.74	471.47	455.05	467.34	483.43	467.83	452.61	435.43	479.33	425.46	477.08	477.33	420.91	430.46	439.27	458.63	489.25	444.2	482.47
城镇71	1215.47	1326.39	1227.29	1265.22	1310.91	1222.42	1295.07	1208.2	1276.02	1230.04	1232.29	1309.24	1342.61	1256.33	1386.87	1344.45	1247.7	1351.87	1218	1350.53	1345.44	1244.3	1294.59	1280.04	1282.78	1192.46	1237.75	1203.88	1287.61	1311.92	1269.93	1363.13	1224.55	1214.94	1196.89	1366.87	1183.63	1370.03	1182.13	1398.41	1285.5	1272.15	1270.75	1236.9	1244.11	1399.41	1401.53	1185.1	1266.9	1296.13	1239.64	1230.02	1250.94	1347.12	1210.88	1168.74	1283.19	1234.17	1265.92	1376.5
城镇72	382.56	357.56	343.42	368.15	349.58	382.13	400.31	393.01	340.84	374.53	354.8	369.24	362.27	397.78	380.71	364.35	399.65	390.66	391.99	337.12	370.49	338.47	367.04	361.69	378.23	367.02	351.55	355.81	395.33	350.61	371.28	396.82	393.61	399.41	346.53	362.33	403.18	348.28	364.76	353.54	357.96	343.08	341.95	347.31	339.53	395.15	358.16	380.19	373.05	397.27	364.22	365.25	386.57	365.47	382.53	353.52	341.41	355.35	400.45	393.45
城镇73	344.22	295.94	332.3	325.1	308.04	335.3	293.88	308.23	291.14	316.93	328.66	302.14	340.23	310.59	328.16	326.3	297.46	301.88	297.33	336.28	293.82	291.8	335.75	290	292.74	330.59	316.28	330.16	295.85	339.92	336.9	328.15	325.24	347.49	291.18	334.93	328.51	341.9	331.31	293.9	313.91	342.27	298.2	294.88	319.05	315.19	337.84	291.69	294.44	346.85	291.73	302.79	342.81	335.92	295.35	307.01	332.12	343.28	346.68	301.05
城镇74	112.42	117.66	102.34	104.22	104.7	110.78	106.94	108.48	113.28	103.65	106.42	106.64	109.45	119.17	112.67	113.3	112.83	101.1	105.42	101.12	102.6	114.81	112.09	112.18	100.89	113.72	113.45	112.52	116.07	103.49	110.01	101.98	116	116.06	106.49	112.44	114.12	103.38	116.45	100.98	117.24	112.81	120.62	105.13	109.66	110.13	108.53	108.67	106.09	109.84	109.15	112.97	110.25	101.59	103.89	110.4	116.11	101.21	116.83	106.16
城镇75	192.85	181.47	191.14	207.62	183.39	183.4	206.55	207.46	208.92	202.07	207.55	205.94	187.09	195.42	197.57	190.02	190.69	199.96	210.84	183.49	200.94	209.53	197.52	205.27	195.42	197.92	189.9	180.04	205.94	203.83	206.45	208.47	212.93	187.69	178.93	181.75	191.96	178.96	205.02	192.04	196.14	210.53	194.27	189.72	180.82	211.18	206.26	185.85	203.4	185.91	203.09	178.79	207.94	207.43	208.06	205.18	206.78	192.25	209.82	208.73
城镇76	1071.04	1015.78	1067.2	1156.72	1054.71	1034.06	1152.26	1176.09	1143.96	1117.86	1132.99	1291.65	1302.51	1281.77	1230.75	1318.87	1297.23	1350.23	1373.73	1418.83	1259.61	1377.01	1521.06	1394.27	1430.7	1426.68	1446.48	1590.24	1437.81	1519.08	1400.14	1654.46	1435.99	1519.36	1686.3	1704.18	1651.46	1597.32	1569.68	1748.01	1662.17	1580.51	1682.41	1682.01	1673.16	1670.56	1695.26	1690.6	1728.06	1767.14	1713.02	1691.74	1635.17	1880.66	1657.51	1688.24	1682.93	1864.53	1798.89	1931.49
城镇77	945.14	934.25	1096.23	962.64	1065.34	958.79	1063.74	1027.39	971.29	918.18	1029.86	1093.66	1032.05	1063.17	1034.72	1030.1	1021.21	922.06	1017.13	927.91	1007.82	1029.74	1093.44	939.01	1014.69	947.32	923.95	1055.66	1046.75	1042.76	959.84	1005.44	988.34	1070.1	1046.57	977.28	1026.77	968.85	1030.85	977.21	928.48	1010.55	1031.51	981.17	1022.34	993.2	946.79	978.62	1082.34	939.1	1094.02	948.65	984.98	985.04	923.98	958.71	1005.34	928.62	1062.84	997.2
城镇78	433.38	464.64	472.02	432.77	424.56	502.8	475.9	477.66	481.61	450.72	485.66	477.38	502.02	423.98	456.66	501.5	500.38	485.07	438.68	504.78	483.03	448.72	489.18	448.93	489.3	498.02	422.64	432.34	440.6	451.35	427.59	489.21	429.41	437.24	486.9	438.05	434.63	486.6	437.69	501.82	440.15	446.65	505.26	462.71	445.33	426	486.34	443.3	499.01	461.46	483.58	427.52	423.55	456.38	506.65	501.59	483.75	502.07	446	455.9
城镇79	1656.32	1593.23	1704.68	1605.24	1838.82	1842.53	1761.4	1742.17	1804.41	1892.8	1802.4	1791.37	1721.38	1798.35	1879.41	1771.1	1632.3	1657.34	1779.75	1628.69	1821.78	1748.88	1705.4	1603.88	1893.09	1601.09	1885.33	1638.89	1903.72	1619.05	1848.72	1804.87	1891.54	1740.99	1837.17	1826.71	1816.49	1671.05	1805.57	1882.99	1615.71	1768.71	1770.84	1849.02	1692.82	1589.07	1800.12	1663.08	1862.2	1857.17	1897.65	1848.69	1602.71	1869.84	1696.57	1615.52	1881.21	1858.46	1848.95	1671.27
城镇80	379.28	401.22	421.5	421.92	426.3	448.28	379.33	408.93	376.94	423.17	426.84	382.71	418	443.22	444.6	408.57	448.48	437.7	403.94	440.76	420.12	378.31	405.55	436.53	399.95	410.2	447.34	386.28	376.1	422.95	439.89	421.2	392.95	448.53	423.35	390.72	427.26	387.61	383.26	405.94	381.52	434.35	393.45	445.2	393.3	417.01	402.75	414.45	397.93	388.47	399.01	382.46	419.76	418.44	378.82	442.62	408.71	394.94	410.89	388.89
城镇81	664.98	622.55	674.14	647.44	591.2	630.41	590.88	598.91	678.34	597.76	575.8	606.04	650.2	574.44	630.21	635.46	581.65	676.65	648.93	619.5	643.49	612.81	587.6	631.78	669.25	612.62	655.63	595.16	665.82	622.99	642.2	596.71	649.15	639.26	675.78	588.17	644.67	632.67	635.11	578.07	598.94	637.85	615.74	631.02	655.89	593.07	638.28	631.72	642.44	618.42	657.46	581.81	605.61	678.84	666.88	667.9	599.76	629.9	628.26	593.68
城镇82	141.14	153	143.83	146.81	163.14	150.39	164.88	145.49	156.9	142.22	159.67	162.28	168.27	149.82	146.84	161.73	164.73	161.37	154.52	156.61	148.6	154.83	141.63	151.44	164.66	163.31	158.71	147.26	168.36	154.29	158.34	163.91	146.92	163.96	144.04	159.5	167.71	151.2	140.71	157.35	158.85	140.47	156.91	144.96	143.58	143.72	162.38	162.72	141.9	141.59	145.47	153.83	153.98	162.61	151.06	150.23	160.53	145.19	145.31	147.82
城镇83	422.11	458.77	491.16	437.71	506.95	509.39	466.9	521.06	473.95	505.78	518.39	494.7	538.7	521.64	530.5	615.7	607.41	590.35	645.46	628.68	574.25	583.5	592.3	580.44	690.76	599.41	708.96	600.74	680.16	730.71	703.6	741.42	692.2	711.85	736.75	709.23	654.94	664.83	778.78	714.21	721.04	692.73	783.73	707.12	737.26	729.65	765.49	792.82	781.09	842.8	752.12	806.28	826.69	755.57	786.92	852.95	825.77	813.58	822.78	818.48
城镇84	107.08	106.89	115.12	99.66	103.34	108.26	98.45	110.31	111.09	96.24	111.56	114.26	104.92	110.08	101.85	97.07	112.94	107.83	96.1	114.53	108.41	105.42	99.46	103.5	107.75	108.55	112.42	105.25	106.56	96.27	115	96.75	99.76	104.49	100.71	108.76	106.01	109.87	98.05	99.88	114.22	114.26	108.47	96.76	98.4	101.68	109.11	108.4	99.63	104.04	111.06	98.19	103.98	110.94	104.46	103.49	96.99	97.74	97.71	99.4
城镇85	195.2	182.33	174.17	204.86	194.86	188.45	173.72	201.82	186.68	189.47	171.93	174.92	186.15	176.78	183.95	177.82	182.72	200.25	194.29	195.05	171.79	190.73	189.66	203.53	202.09	196.63	178.88	194.84	176.4	183.12	173.74	178.04	178.95	179.1	191.68	174.01	173.72	177.54	196.34	195.83	186.37	199.76	177.12	203.14	171.42	175.1	193.09	200.46	203.22	203.41	189.44	174.63	198	197.12	197.16	194.72	197.17	170.86	198.46	172.45
城镇86	460.02	436.84	474.56	454.13	477.4	561.24	581.32	612.8	563.94	582.51	592.45	687.01	606.29	721.11	631.77	658.38	730.23	696.02	717.13	742.38	780.42	730.38	746.42	751.81	780.74	795.5	876.94	796.51	880.83	897.57	882.87	910.89	880.08	868.48	1001.01	979.02	946	984.37	950.86	976.27	1084	1111.12	1053.78	1028.01	1130.79	1137.28	1014.49	1210.98	1028.29	1189.52	1240.52	1134.21	1121.61	1193.14	1101.86	1120.61	1188.37	1168.57	1210.42	1122.85
城镇87	618.3	690.23	620.88	683.32	632.7	700.29	658.88	639.37	728.15	623.62	626.18	719.98	706.01	624.37	686.15	699.57	671.58	723.87	624.02	649.55	686.1	731.53	705.35	698.06	642.16	665.14	684.51	667.89	655.56	715.3	715.13	726.55	673.83	698.58	641.61	618.43	642.29	661.14	646.28	627.05	672.42	711.37	731.49	661.06	628.88	707.34	627.48	689.12	686.51	641.37	651.35	724.08	677.4	711.81	684.33	654.41	619.6	629.99	701.28	705.14
城镇88	163.15	170.82	164.45	153.14	152.37	149.37	160.04	166.65	161.52	155.73	153.76	169.76	147.86	152.77	149.25	167.68	156.81	170.99	143.84	147.18	169.68	148.99	156.03	152.86	165.19	149	164.08	149.72	161.55	159.28	146.56	162.05	170.15	158.13	156.63	148.2	163.2	154.45	159.83	149.83	158.7	148.73	153.35	171.67	155.26	163.05	146.95	157.97	165.11	151.33	148.82	170.54	166.94	153.15	168.54	164.63	147.51	149.68	151.19	171.82
城镇89	151.99	149.94	140.39	139.65	150.28	132.85	136.56	152.14	148.48	138.94	144.19	144.51	153.18	158.93	151.9	155.07	135.94	137.84	152.45	143.44	143.99	145.72	155.5	151.51	134.06	145.32	155.14	157.89	156.36	157.81	137.11	137.85	144.25	143.57	140.71	135.26	138.93	152.11	151.94	135.62	143.45	158.61	156.52	159.2	143.32	135.63	157.73	142.84	137.91	144.85	135.79	141.9	155.97	138.2	133.77	143.16	133.08	141.57	141.71	134.5
城镇90	645.7	608.97	622.67	623.04	550.9	627.45	652.2	577.71	552.51	607.9	648.48	651.84	554.28	582.24	597.84	642.14	595.27	645.75	547.4	551.4	565.17	558.85	563.59	586.13	594.33	624.07	636.18	559.6	648.44	618.67	603.25	646.82	590.37	613.64	590.93	615.65	563.81	644.91	584.98	635.49	638.8	640.88	605.96	626.87	547.87	553.23	607.37	583.44	579.03	570.36	571.42	561	558.17	605.94	601.91	626.27	562.11	559.97	556.19	646.53
城镇91	585.58	584.71	605.46	596.77	553.16	600.39	559.05	614.19	606.57	560.08	560.53	533.51	523.93	572.9	527.5	605.06	534.17	555.92	546.44	552.1	579.79	553.52	539.16	570.08	553.07	607.55	582.52	619.29	557.28	602.94	532.05	534.45	596.95	582.07	600.09	602.17	537.37	536.02	543.55	563.4	609.47	596.8	558.37	593.18	553.76	530.75	548.45	549.66	603.98	570.12	574.17	571.88	537.04	588.26	575.06	535.56	524.69	532.98	618.72	575.71
城镇92	177.23	205.51	198.63	189.65	197.34	207.49	201.32	205.23	186.38	185.33	192.13	192.3	194.72	184.98	182.82	199.41	201.28	202.02	199.89	176.11	184.41	197.04	193.68	199.01	207.53	188.5	204.93	176.77	202.46	186.19	201.47	176.58	194.49	193.63	202.31	187.62	193.06	207.56	178.64	187.02	179.45	194.96	193.46	186.14	184.7	194.31	202.41	188.31	198.44	206.12	178.39	178.41	196.34	178.69	198.71	177.97	191.56	188.73	205.84	192.43
城镇93	145.83	150.17	171.57	161.28	169.84	146.77	170.37	154.99	167.77	156.11	146.1	173	174.05	164.53	157.46	169.46	151.89	168.65	149.3	153.78	162.62	159.48	172.8	161.41	154.66	161.76	145.83	164.29	165.81	158.3	154.78	159.85	172.31	148.8	160.69	148.87	172.19	172.48	149.62	152.41	167.46	151.71	162.83	149.29	156.2	150	150.97	147.85	154.25	164.17	169.3	152.54	173.19	150.76	151.36	158.73	156.49	163.96	147.88	162.3
城镇94	40.72	43.57	46.99	48.57	52.37	54.02	58.58	63.79	66.93	64.59	66.76	77.83	79.51	75.53	74.81	76.94	88.13	87.31	94.98	96.51	90.34	103.37	96.56	102.34	98.77	100.88	105.79	115.91	114.3	104.03	124.63	121.92	113.74	114.13	130.53	124.27	114.68	135.07	130.78	127.47	129.83	138.15	137.39	136.56	143.7	139.01	131.65	129.53	135.43	136.78	142.24	144.49	146.8	140.18	154.38	146.45	147.12	158.55	158.93	148.24
城镇95	363.06	308.98	352.87	357.74	321.37	317.15	366.68	357.11	321.1	353.93	312.91	312.96	330.44	365.94	318.45	358.12	323.82	308.19	348.15	314.2	346.57	358.25	349.89	326.38	351.38	348.46	364.39	363.22	327.7	328.3	354.61	363.1	349.43	326.53	309.93	318.13	367.42	334.35	356.49	335.11	352.03	317.68	346.84	312.06	338.92	359.6	307.92	346.37	311.76	365.04	359.09	358.36	354.88	350.74	357.02	363.16	339.8	322.15	308.09	331.21
城镇96	152.22	134.79	130.07	152.24	149.56	151.44	153.89	143.21	131.58	130.13	132.8	145.66	130.95	135.59	143.78	142.33	146.46	155.08	130.35	131.01	154.56	138.11	143.3	152.91	150.88	137.24	145.55	152.83	152.45	131.54	145.79	153.51	147.91	141.26	150.85	133.32	136.78	148.43	140.13	140.04	153.15	149.08	142.12	135.66	139.18	152.27	151.58	131.98	135.29	148.8	140.86	151.92	131.94	149.98	147.29	147.06	137.93	140.47	129.72	129.72
城镇97	882.31	921.96	999.07	918.52	898.22	1025.6	963.78	901.12	900.08	920.06	1018.46	989.95	956.36	876.26	874.79	941.37	960.92	870.64	981.87	993.22	1028.35	975.73	937.35	909.01	950.52	1019.93	977.76	1031.51	982.26	1002	935.49	925.99	917.72	1006.55	955.63	900.14	934.7	906.58	934.25	989.69	937.38	972.09	900.03	872.49	961.69	874.8	939.9	938.71	955.21	879.1	1008.73	912.63	950.73	882.91	930.33	904.87	949.27	949.18	947.03	1030.4
城镇98	176.9	174.99	186.91	180.64	174.54	189.41	187.45	176.92	197.25	174.82	182.82	179.11	190.13	185.79	189.49	201.35	182.04	173.14	196.51	181.03	177.33	195.66	179.57	174.86	176.85	200.29	190.34	183.88	194.15	177.99	185.51	191.03	196.94	196.29	185.03	193.67	191.05	197.07	188.16	170.82	195.63	176.2	200.51	170.07	198.72	175.7	202.41	180.93	202.6	174.26	191.86	193.6	188.64	176.28	178.39	184.55	190.47	179.75	169.83	183.77
城镇99	164.38	150.95	160.3	159.91	160.93	148.94	170.48	148.47	149.71	156.97	159.35	169.29	172.33	166.94	161.25	161.31	159.02	155.84	147.26	162.16	161.52	150.7	162.94	154.56	154.65	156.3	163.08	157.69	150.63	152.23	167.81	147.51	146.53	155.11	147.42	159.71	168.75	151.38	162.24	147.37	146.07	172.26	158.1	172.54	168.38	158.46	168.94	151.28	172.16	153.48	171.57	153.82	166.75	154.93	151.2	144.97	173.87	156.95	163.77	166.12
城镇100	1884.5	1798.74	1928.08	1662	1748.12	1675.68	1715.74	1687.59	1716.83	1959.01	1738	1699.88	1865.45	1786.21	1848.65	1695.76	1912.37	1905.06	1703.77	1729.78	1918.13	1940.92	1783.41	1841.56	1753.23	1890.09	1822.54	1878.59	1799.94	1775	1939.68	1865.02	1812.45	1924.46	1900.46	1974.83	1851.35	1695.13	1864.76	1889.52	1800.32	1733.48	1938.51	1877.16	1744.05	1878.6	1837.14	1947.37	1675.92	1699.37	1898	1860.46	1970.15	1891.79	1667.42	1844.75	1935.65	1783.9	1953.7	1867.6
城镇101	1531.77	1486.59	1433.72	1591.94	1444.87	1612.63	1604.03	1587.29	1723.85	1652.67	1619.74	1724.21	1950.29	1779.12	1957.44	1996.27	1872.53	2044.71	1967.4	2122.06	2101.68	2053.95	1983.51	2276.28	2096.44	2104.41	2084.73	2121.74	2202.32	2054.14	2105.51	2218.14	2175.66	2296.75	2116.06	2289.52	2137.93	2307.73	2362.29	2284.37	2409.87	2323.95	2435.35	2431.04	2560.55	2596.7	2367.73	2610.41	2415.68	2443.26	2531.48	2214.32	2221.76	2383.67	2331.45	2274.3	2210.15	2305.85	2472.47	2233.33
城镇102	131.34	116.01	114.27	119.27	131.24	127.26	132.36	117.58	110.79	125.99	116.43	118.64	116.05	120.36	119.3	123.62	113.74	121.11	118.5	116.51	111.72	121.07	122.4	110.39	115	103.92	111.05	109.35	111.69	111.48	109.03	106.45	118.7	117.04	118.84	104.65	107.97	117.49	99.58	107.43	106.33	116.6	110.91	114.46	108.03	110.46	102.26	108.88	98.25	112.38	107.45	101.06	107.25	95.37	94.18	95.56	99.94	94.83	105.25	100.64
城镇103	385.78	379.55	385.13	351.02	363.96	388.61	362.63	337.39	384.18	395.85	334.18	336.6	338.72	360.59	362.19	344.71	371.04	396.83	357.01	366.37	397.57	398.58	347.95	391.82	348.23	364.94	391.1	393.67	377.05	392.05	381.15	349.24	398.45	350.93	337.65	357.69	355.04	354.57	350.15	336.8	335.22	349.05	381.92	381.83	387.75	377.88	395.68	372.58	387.96	376	392.71	383.98	385.84	359.13	381.46	355.32	382.74	345.47	350.44	341.48
城镇104	1413.18	1351.42	1337.89	1613.02	1440.31	1628.76	1627.62	1795.44	1659.83	1839.9	1637.49	1739.38	1758.09	1801.01	1803.66	1946.26	2013.3	2162.8	1894.91	2209.82	2241.52	2291.25	2121.63	2151.12	2324.08	2271.8	2063.44	2329.05	2385.36	2345.65	2185.72	2456.54	2239.74	2488.23	2559.79	2327.63	2575.86	2547.26	2360.44	2589.5	2215.07	2512.84	2367.41	2262.88	2337.98	2524.11	2373.01	2266.87	2268.62	2516.24	2260.82	2509.47	2403.63	2361.71	2266.41	2395.66	2332.19	2237.06	2388.27	2184.65
城镇105	148.68	160.53	149.95	155.8	153.4	161.38	158.68	159.98	166.09	155.46	166.19	167.13	146.85	155.42	141.93	142.17	160.39	144.1	144.48	144.34	155.26	154.59	151.48	165.18	147.32	153	148.33	152.1	139.74	162.16	165.69	145.53	152.3	141.04	161.44	152.79	164.25	161.65	143.33	148.53	141.31	141.51	163.13	148.1	144.6	157.31	159.05	151.36	163.73	164.28	143.54	148.53	153.6	164.22	139.39	165.75	148.16	149.02	155.05	148.93
城镇106	3694.91	3433.18	3656.88	3245.19	3684.19	3670.98	3186.38	3516.97	3422.31	3672.28	3607.11	3207.25	3156.13	3203.42	3544.65	3575.54	3346.94	3449.33	3303.55	3355.93	3700.1	3493.73	3619.4	3458.28	3287.52	3614.8	3206.23	3655.34	3280.09	3720.3	3503.25	3237.53	3442.62	3604.34	3513.83	3578.56	3140.26	3254.4	3134.54	3174.58	3352.23	3126.63	3289.03	3669.25	3483.81	3145.73	3545.35	3196.34	3507.89	3545.42	3606.15	3512.96	3699.75	3656.91	3570.27	3359.23	3345.9	3309.18	3238.94	3580.67
